STATION_ID;MUNICIPALITY;STATION_NAME;LATITUDE;LONGITUDE
S32003;Somerville;Beacon St at Washington / Kirkland;42,37842;-71,105668
S32004;Somerville;Conway Park - Somerville Avenue;42,383405;-71,107593
S32005;Somerville;Wilson Square;42,385582;-71,113341
S32006;Somerville;Davis Square;42,396969;-71,123024
S32008;Somerville;Powder House Circle - Nathan Tufts Park;42,400877;-71,116772
S32009;Somerville;Packard Ave / Powderhouse Blvd;42,40449;-71,123413
S32010;Somerville;Somerville Hospital at Highland Ave / Crocker St;42,39082;-71,10942
S32011;Somerville;Teele Square at 239 Holland St;42,402763;-71,126908
S32012;Somerville;Summer St at Cutter St;42,394002;-71,120406
S32013;Somerville;Magoun Square at Trum Field;42,398365;-71,107818
B99997;Boston;Curtis Hall at South Street;42,30926;-71,11519   
B99998;Boston;Edwards Playground - Main Street & Eden Street;42,37903;-71,06863 
B99999;Boston;Mass Ave at Newmarket Square;42,32679;-71,06684   
M99999;Cambridge;18 Dorrance Warehouse; 42.38754;-71,07587 
